"Fecha","Casos","Cumulativo","Pos_rep","Susp_rep","IRAG_Test","Tested_tot","Recovered","Deceased"
2020-01-23,NA,0,0,3,0,2,0,0
2020-01-24,0,0,0,3,0,4,0,0
2020-01-25,0,0,0,0,0,7,0,0
2020-01-26,0,0,0,0,0,7,0,0
2020-01-27,0,0,0,0,0,7,0,0
2020-01-28,0,0,0,2,0,7,0,0
2020-01-29,0,0,0,0,0,9,0,0
2020-01-30,0,0,0,0,0,9,0,0
2020-01-31,0,0,0,0,0,9,0,0
2020-02-01,0,0,0,0,0,9,0,0
2020-02-02,0,0,0,1,0,9,0,0
2020-02-03,0,0,0,0,0,10,0,0
2020-02-04,0,0,0,0,0,10,0,0
2020-02-05,0,0,0,0,0,10,0,0
2020-02-06,0,0,0,0,0,10,0,0
2020-02-07,0,0,0,0,0,10,0,0
2020-02-08,0,0,0,0,0,10,0,0
2020-02-09,0,0,0,1,0,10,0,0
2020-02-10,0,0,0,0,0,11,0,0
2020-02-11,0,0,0,3,0,11,0,0
2020-02-12,0,0,0,2,0,13,0,0
2020-02-13,0,0,0,1,0,15,0,0
2020-02-14,0,0,0,1,0,15,0,0
2020-02-15,0,0,0,0,0,16,0,0
2020-02-16,0,0,0,0,0,16,0,0
2020-02-17,0,0,0,0,0,16,0,0
2020-02-18,0,0,0,0,0,16,0,0
2020-02-19,0,0,0,2,0,16,0,0
2020-02-20,0,0,0,0,0,18,0,0
2020-02-21,0,0,0,0,0,18,0,0
2020-02-22,0,0,0,0,0,18,0,0
2020-02-23,0,0,0,0,0,18,0,0
2020-02-24,0,0,0,0,0,18,0,0
2020-02-25,0,0,0,0,44,62,0,0
2020-02-26,0,0,0,1,44,62,0,0
2020-02-27,0,0,0,1,125,147,0,0
2020-02-28,3,3,3,3,125,165,0,0
2020-02-29,1,4,4,8,125,175,0,0
2020-03-01,1,5,5,11,140,205,0,0
2020-03-02,0,5,5,21,140,214,0,0
2020-03-03,0,5,5,39,140,220,0,0
2020-03-04,0,5,5,26,140,257,0,0
2020-03-05,0,5,5,35,140,288,0,0
2020-03-06,1,6,6,36,140,309,0,0
2020-03-07,1,7,7,30,140,333,0,0
2020-03-08,0,7,7,24,140,348,0,0
2020-03-09,0,7,7,12,140,365,0,0
2020-03-10,0,7,7,37,140,381,0,0
2020-03-11,5,12,11,49,182,457,1,0
2020-03-12,3,15,15,82,182,495,1,0
2020-03-13,12,27,26,105,182,552,1,0
2020-03-14,14,41,41,155,182,627,2,0
2020-03-15,12,53,53,176,182,717,3,0
2020-03-16,29,82,82,171,182,843,3,0
2020-03-17,11,93,93,206,182,947,3,0
2020-03-18,25,118,118,314,182,1087,3,0
2020-03-19,46,164,164,448,182,1267,3,1
2020-03-20,39,203,203,606,182,1496,3,2
2020-03-21,48,251,251,697,182,1926,3,2
2020-03-22,65,316,316,793,182,2165,3,2
2020-03-23,51,367,367,826,182,2414,NA,4
2020-03-24,38,405,405,1219,182,2748,NA,5
2020-03-25,70,475,475,1656,182,3102,NA,6
2020-03-26,110,585,585,2156,182,3732,NA,8
2020-03-27,132,717,717,2475,182,4441,NA,12
2020-03-28,131,848,848,2623,182,5371,NA,16
2020-03-29,145,993,993,2564,182,6130,NA,20
2020-03-30,101,1094,1094,2752,182,6911,NA,28
2020-03-31,121,1215,1215,3511,182,7679,NA,29
