"Code","Estado"
"AGU","AGUASCALIENTES"
"BCN","BAJA CALIFORNIA"
"BCS","BAJA CALIFORNIA SUR"
"CAM","CAMPECHE"
"CHH","CHIHUAHUA"
"CHP","CHIAPAS"
"CMX","CIUDAD DE MEXICO"
"COA","COAHUILA"
"COL","COLIMA"
"DUR","DURANGO"
"GRO","GUERRERO"
"GUA","GUANAJUATO"
"HID","HIDALGO"
"JAL","JALISCO"
"MEX","MEXICO"
"MIC","MICHOACAN"
"MOR","MORELOS"
"NAY","NAYARIT"
"NLE","NUEVO LEON"
"OAX","OAXACA"
"PUE","PUEBLA"
"QUE","QUERETARO"
"ROO","QUINTANA ROO"
"SIN","SINALOA"
"SLP","SAN LUIS POTOSI"
"SON","SONORA"
"TAB","TABASCO"
"TAM","TAMAULIPAS"
"TLA","TLAXCALA"
"VER","VERACRUZ"
"YUC","YUCATAN"
"ZAC","ZACATECAS"
